,uid,topology,iteration,nodes,event,size_gb,time_seconds
0,kary-1-6,kary-1,0,6,create-archive,1,4.033
1,kary-1-6,kary-1,0,6,distribute-all-nodes,1,2.71
2,kary-1-6,kary-1,0,6,clean-all-nodes,1,0.313
3,kary-1-6,kary-1,0,6,delete-archive-all-nodes,1,0.029
4,kary-1-6,kary-1,0,6,create-leaf-nodes,1,4.036
5,kary-1-6,kary-1,0,6,distribute-leaf-nodes,1,2.509
6,kary-1-6,kary-1,0,6,clean-leaf-nodes,1,0.312
7,kary-1-6,kary-1,0,6,delete-archive-leaf-nodes,1,0.028
8,kary-1-6,kary-1,0,6,create-middle-nodes,1,3.918
9,kary-1-6,kary-1,0,6,distribute-middle-nodes-0,1,2.591
10,kary-1-6,kary-1,0,6,distribute-middle-nodes-1,1,2.696
11,kary-1-6,kary-1,0,6,clean-middle-nodes,1,0.312
12,kary-1-6,kary-1,0,6,delete-archive-middle-nodes,1,0.028
13,kary-1-6,kary-1,0,6,create-archive,2,7.956
14,kary-1-6,kary-1,0,6,distribute-all-nodes,2,5.279
15,kary-1-6,kary-1,0,6,clean-all-nodes,2,0.593
16,kary-1-6,kary-1,0,6,delete-archive-all-nodes,2,0.029
17,kary-1-6,kary-1,0,6,create-leaf-nodes,2,7.96
18,kary-1-6,kary-1,0,6,distribute-leaf-nodes,2,5.003
19,kary-1-6,kary-1,0,6,clean-leaf-nodes,2,0.594
20,kary-1-6,kary-1,0,6,delete-archive-leaf-nodes,2,0.029
21,kary-1-6,kary-1,0,6,create-middle-nodes,2,7.918
22,kary-1-6,kary-1,0,6,distribute-middle-nodes-0,2,5.06
23,kary-1-6,kary-1,0,6,distribute-middle-nodes-1,2,5.267
24,kary-1-6,kary-1,0,6,clean-middle-nodes,2,0.588
25,kary-1-6,kary-1,0,6,delete-archive-middle-nodes,2,0.03
26,kary-1-6,kary-1,0,6,create-archive,3,11.635
27,kary-1-6,kary-1,0,6,distribute-all-nodes,3,7.994
28,kary-1-6,kary-1,0,6,clean-all-nodes,3,0.882
29,kary-1-6,kary-1,0,6,delete-archive-all-nodes,3,0.029
30,kary-1-6,kary-1,0,6,create-leaf-nodes,3,11.76
31,kary-1-6,kary-1,0,6,distribute-leaf-nodes,3,7.919
32,kary-1-6,kary-1,0,6,clean-leaf-nodes,3,0.878
33,kary-1-6,kary-1,0,6,delete-archive-leaf-nodes,3,0.03
34,kary-1-6,kary-1,0,6,create-middle-nodes,3,11.82
35,kary-1-6,kary-1,0,6,distribute-middle-nodes-0,3,7.85
36,kary-1-6,kary-1,0,6,distribute-middle-nodes-1,3,7.535
37,kary-1-6,kary-1,0,6,clean-middle-nodes,3,0.914
38,kary-1-6,kary-1,0,6,delete-archive-middle-nodes,3,0.028
39,kary-1-6,kary-1,0,6,create-archive,4,15.837
40,kary-1-6,kary-1,0,6,distribute-all-nodes,4,10.622
41,kary-1-6,kary-1,0,6,clean-all-nodes,4,1.43
42,kary-1-6,kary-1,0,6,delete-archive-all-nodes,4,0.031
43,kary-1-6,kary-1,0,6,create-leaf-nodes,4,16.168
44,kary-1-6,kary-1,0,6,distribute-leaf-nodes,4,10.069
45,kary-1-6,kary-1,0,6,clean-leaf-nodes,4,1.167
46,kary-1-6,kary-1,0,6,delete-archive-leaf-nodes,4,0.028
47,kary-1-6,kary-1,0,6,create-middle-nodes,4,15.645
48,kary-1-6,kary-1,0,6,distribute-middle-nodes-0,4,10.194
49,kary-1-6,kary-1,0,6,distribute-middle-nodes-1,4,10.561
50,kary-1-6,kary-1,0,6,clean-middle-nodes,4,12.998
51,kary-1-6,kary-1,0,6,delete-archive-middle-nodes,4,0.029
52,kary-1-6,kary-1,0,6,create-archive,5,19.716
53,kary-1-6,kary-1,0,6,distribute-all-nodes,5,13.316
54,kary-1-6,kary-1,0,6,clean-all-nodes,5,1.637
55,kary-1-6,kary-1,0,6,delete-archive-all-nodes,5,0.034
56,kary-1-6,kary-1,0,6,create-leaf-nodes,5,19.507
57,kary-1-6,kary-1,0,6,distribute-leaf-nodes,5,13.287
58,kary-1-6,kary-1,0,6,clean-leaf-nodes,5,1.453
59,kary-1-6,kary-1,0,6,delete-archive-leaf-nodes,5,0.034
60,kary-1-6,kary-1,0,6,create-middle-nodes,5,20.08
61,kary-1-6,kary-1,0,6,distribute-middle-nodes-0,5,13.407
62,kary-1-6,kary-1,0,6,distribute-middle-nodes-1,5,14.073
63,kary-1-6,kary-1,0,6,clean-middle-nodes,5,11.955
64,kary-1-6,kary-1,0,6,delete-archive-middle-nodes,5,0.034
65,kary-1-6,kary-1,0,6,create-archive,6,23.624
66,kary-1-6,kary-1,0,6,distribute-all-nodes,6,17.83
67,kary-1-6,kary-1,0,6,clean-all-nodes,6,33.182
68,kary-1-6,kary-1,0,6,delete-archive-all-nodes,6,0.04
69,kary-1-6,kary-1,0,6,create-leaf-nodes,6,24.135
70,kary-1-6,kary-1,0,6,distribute-leaf-nodes,6,16.538
71,kary-1-6,kary-1,0,6,clean-leaf-nodes,6,2.057
72,kary-1-6,kary-1,0,6,delete-archive-leaf-nodes,6,0.039
73,kary-1-6,kary-1,0,6,create-middle-nodes,6,23.459
74,kary-1-6,kary-1,0,6,distribute-middle-nodes-0,6,17.66
75,kary-1-6,kary-1,0,6,distribute-middle-nodes-1,6,16.665
76,kary-1-6,kary-1,0,6,clean-middle-nodes,6,2.079
77,kary-1-6,kary-1,0,6,delete-archive-middle-nodes,6,0.04
78,kary-1-6,kary-1,0,6,create-archive,7,27.959
79,kary-1-6,kary-1,0,6,distribute-all-nodes,7,21.506
80,kary-1-6,kary-1,0,6,clean-all-nodes,7,29.708
81,kary-1-6,kary-1,0,6,delete-archive-all-nodes,7,0.042
82,kary-1-6,kary-1,0,6,create-leaf-nodes,7,27.675
83,kary-1-6,kary-1,0,6,distribute-leaf-nodes,7,18.046
