,uid,topology,iteration,nodes,event,size_gb,time_seconds
0,kary-16-256,kary-16,0,256,create-archive,1,9.071
1,kary-16-256,kary-16,0,256,distribute-all-nodes,1,2.527
2,kary-16-256,kary-16,0,256,delete-archive-all-nodes,1,0.046
3,kary-16-256,kary-16,0,256,clean-all-nodes,1,0.563
4,kary-16-256,kary-16,0,256,create-archive,2,19.383
5,kary-16-256,kary-16,0,256,distribute-all-nodes,2,18.307
6,kary-16-256,kary-16,0,256,delete-archive-all-nodes,2,0.049
7,kary-16-256,kary-16,0,256,clean-all-nodes,2,0.892
8,kary-16-256,kary-16,0,256,create-archive,3,29.352
9,kary-16-256,kary-16,0,256,distribute-all-nodes,3,48.867
10,kary-16-256,kary-16,0,256,delete-archive-all-nodes,3,0.068
11,kary-16-256,kary-16,0,256,clean-all-nodes,3,1.037
12,kary-16-256,kary-16,0,256,create-archive,4,39.683
13,kary-16-256,kary-16,0,256,distribute-all-nodes,4,79.371
14,kary-16-256,kary-16,0,256,delete-archive-all-nodes,4,0.071
15,kary-16-256,kary-16,0,256,clean-all-nodes,4,1.095
16,kary-16-256,kary-16,0,256,create-archive,5,49.986
17,kary-16-256,kary-16,0,256,distribute-all-nodes,5,108.63
18,kary-16-256,kary-16,0,256,delete-archive-all-nodes,5,0.241
19,kary-16-256,kary-16,0,256,clean-all-nodes,5,1.305
20,kary-16-256,kary-16,0,256,create-archive,6,59.924
21,kary-16-256,kary-16,0,256,distribute-all-nodes,6,139.188
22,kary-16-256,kary-16,0,256,delete-archive-all-nodes,6,0.071
23,kary-16-256,kary-16,0,256,clean-all-nodes,6,1.433
24,kary-16-256,kary-16,0,256,create-archive,7,70.09
25,kary-16-256,kary-16,0,256,distribute-all-nodes,7,168.89600000000002
26,kary-16-256,kary-16,0,256,delete-archive-all-nodes,7,0.192
27,kary-16-256,kary-16,0,256,clean-all-nodes,7,1.478
28,kary-16-256,kary-16,0,256,create-archive,8,80.389
29,kary-16-256,kary-16,0,256,distribute-all-nodes,8,198.864
30,kary-16-256,kary-16,0,256,delete-archive-all-nodes,8,0.272
31,kary-16-256,kary-16,0,256,clean-all-nodes,8,1.68
32,kary-16-256,kary-16,0,256,create-archive,9,90.23
33,kary-16-256,kary-16,0,256,distribute-all-nodes,9,227.779
34,kary-16-256,kary-16,0,256,delete-archive-all-nodes,9,0.251
35,kary-16-256,kary-16,0,256,clean-all-nodes,9,1.801
36,kary-16-256,kary-16,0,256,create-archive,10,90.913
37,kary-16-256,kary-16,0,256,distribute-all-nodes,10,258.081
38,kary-16-256,kary-16,0,256,delete-archive-all-nodes,10,0.281
39,kary-16-256,kary-16,0,256,clean-all-nodes,10,1.902
40,kary-1-256,kary-1,0,256,create-archive,1,11.505
41,kary-1-256,kary-1,0,256,distribute-all-nodes,1,4.071
42,kary-1-256,kary-1,0,256,delete-archive-all-nodes,1,2.585
43,kary-1-256,kary-1,0,256,clean-all-nodes,1,1.71
44,kary-1-256,kary-1,0,256,create-archive,2,19.221
45,kary-1-256,kary-1,0,256,distribute-all-nodes,2,16.752
46,kary-1-256,kary-1,0,256,delete-archive-all-nodes,2,2.023
47,kary-1-256,kary-1,0,256,clean-all-nodes,2,1.638
48,kary-1-256,kary-1,0,256,create-archive,3,29.448
49,kary-1-256,kary-1,0,256,distribute-all-nodes,3,30.114
50,kary-1-256,kary-1,0,256,delete-archive-all-nodes,3,2.304
51,kary-1-256,kary-1,0,256,clean-all-nodes,3,2.026
52,kary-1-256,kary-1,0,256,create-archive,4,39.462
53,kary-1-256,kary-1,0,256,distribute-all-nodes,4,52.44
54,kary-1-256,kary-1,0,256,delete-archive-all-nodes,4,2.373
55,kary-1-256,kary-1,0,256,clean-all-nodes,4,2.293
56,kary-1-256,kary-1,0,256,create-archive,5,49.873
57,kary-1-256,kary-1,0,256,distribute-all-nodes,5,74.691
58,kary-1-256,kary-1,0,256,delete-archive-all-nodes,5,2.508
59,kary-1-256,kary-1,0,256,clean-all-nodes,5,2.302
60,kary-1-256,kary-1,0,256,create-archive,6,59.948
61,kary-1-256,kary-1,0,256,distribute-all-nodes,6,97.017
62,kary-1-256,kary-1,0,256,delete-archive-all-nodes,6,2.538
63,kary-1-256,kary-1,0,256,clean-all-nodes,6,2.603
64,kary-1-256,kary-1,0,256,create-archive,7,69.887
65,kary-1-256,kary-1,0,256,distribute-all-nodes,7,119.301
66,kary-1-256,kary-1,0,256,delete-archive-all-nodes,7,2.543
67,kary-1-256,kary-1,0,256,clean-all-nodes,7,2.615
68,kary-1-256,kary-1,0,256,create-archive,8,79.862
69,kary-1-256,kary-1,0,256,distribute-all-nodes,8,141.685
70,kary-1-256,kary-1,0,256,delete-archive-all-nodes,8,2.493
71,kary-1-256,kary-1,0,256,clean-all-nodes,8,2.769
72,kary-1-256,kary-1,0,256,create-archive,9,90.747
73,kary-1-256,kary-1,0,256,distribute-all-nodes,9,164.023
74,kary-1-256,kary-1,0,256,delete-archive-all-nodes,9,2.408
75,kary-1-256,kary-1,0,256,clean-all-nodes,9,2.944
76,kary-1-256,kary-1,0,256,create-archive,10,83.005
77,kary-1-256,kary-1,0,256,distribute-all-nodes,10,186.503
78,kary-1-256,kary-1,0,256,delete-archive-all-nodes,10,2.736
79,kary-1-256,kary-1,0,256,clean-all-nodes,10,3.108
