,uid,topology,topology-uid,iteration,nodes,rank,service,message_size_bytes,message_size_mb,time_ms,time_seconds,hops
47,flux-ping-kvs-size-200-rank-16,kary-12,kary-12-30,0,30,16,kvs,209715200,200,12778.861,12.778861000000001,6
48,flux-ping-broker-size-200-rank-18,kary-12,kary-12-30,0,30,18,broker,209715200,200,12684.787,12.684787,5
49,flux-ping-kvs-size-200-rank-18,kary-12,kary-12-30,0,30,18,kvs,209715200,200,12693.108,12.693108,6
50,flux-ping-broker-size-200-rank-20,kary-12,kary-12-30,0,30,20,broker,209715200,200,12637.128,12.637128,5
51,flux-ping-kvs-size-200-rank-20,kary-12,kary-12-30,0,30,20,kvs,209715200,200,12626.771,12.626771000000002,6
52,flux-ping-broker-size-200-rank-22,kary-12,kary-12-30,0,30,22,broker,209715200,200,12727.509,12.727509,5
53,flux-ping-kvs-size-200-rank-22,kary-12,kary-12-30,0,30,22,kvs,209715200,200,12660.723,12.660723,6
54,flux-ping-broker-size-200-rank-24,kary-12,kary-12-30,0,30,24,broker,209715200,200,12960.74,12.96074,5
55,flux-ping-kvs-size-200-rank-24,kary-12,kary-12-30,0,30,24,kvs,209715200,200,12820.009,12.820009,6
56,flux-ping-broker-size-200-rank-26,kary-12,kary-12-30,0,30,26,broker,209715200,200,12673.301,12.673300999999999,5
57,flux-ping-kvs-size-200-rank-26,kary-12,kary-12-30,0,30,26,kvs,209715200,200,12628.961,12.628960999999999,6
58,flux-ping-broker-size-200-rank-28,kary-12,kary-12-30,0,30,28,broker,209715200,200,12613.199,12.613199,5
59,flux-ping-kvs-size-200-rank-28,kary-12,kary-12-30,0,30,28,kvs,209715200,200,12768.911,12.768911,6
60,flux-ping-broker-size-200-rank-0,kary-1,kary-1-30,0,30,0,broker,209715200,200,8952.264,8.952264,3
61,flux-ping-kvs-size-200-rank-0,kary-1,kary-1-30,0,30,0,kvs,209715200,200,8890.384,8.890384,4
62,flux-ping-broker-size-200-rank-2,kary-1,kary-1-30,0,30,2,broker,209715200,200,12827.956,12.827956,5
63,flux-ping-kvs-size-200-rank-2,kary-1,kary-1-30,0,30,2,kvs,209715200,200,12818.8,12.8188,6
64,flux-ping-broker-size-200-rank-4,kary-1,kary-1-30,0,30,4,broker,209715200,200,16805.211,16.805211,7
65,flux-ping-kvs-size-200-rank-4,kary-1,kary-1-30,0,30,4,kvs,209715200,200,16784.391,16.784391,8
66,flux-ping-broker-size-200-rank-6,kary-1,kary-1-30,0,30,6,broker,209715200,200,20785.619,20.785619,9
67,flux-ping-kvs-size-200-rank-6,kary-1,kary-1-30,0,30,6,kvs,209715200,200,20756.203,20.756203000000003,10
68,flux-ping-broker-size-200-rank-8,kary-1,kary-1-30,0,30,8,broker,209715200,200,24821.868,24.821868,11
69,flux-ping-kvs-size-200-rank-8,kary-1,kary-1-30,0,30,8,kvs,209715200,200,24794.903,24.794902999999998,12
70,flux-ping-broker-size-200-rank-10,kary-1,kary-1-30,0,30,10,broker,209715200,200,28832.242,28.832241999999997,13
71,flux-ping-kvs-size-200-rank-10,kary-1,kary-1-30,0,30,10,kvs,209715200,200,28758.035,28.758035,14
72,flux-ping-broker-size-200-rank-12,kary-1,kary-1-30,0,30,12,broker,209715200,200,32944.577,32.944576999999995,15
73,flux-ping-kvs-size-200-rank-12,kary-1,kary-1-30,0,30,12,kvs,209715200,200,32928.616,32.928616000000005,16
74,flux-ping-broker-size-200-rank-14,kary-1,kary-1-30,0,30,14,broker,209715200,200,36967.709,36.967709,17
75,flux-ping-kvs-size-200-rank-14,kary-1,kary-1-30,0,30,14,kvs,209715200,200,36975.974,36.975974,18
76,flux-ping-broker-size-200-rank-16,kary-1,kary-1-30,0,30,16,broker,209715200,200,41033.841,41.033841,19
77,flux-ping-kvs-size-200-rank-16,kary-1,kary-1-30,0,30,16,kvs,209715200,200,40867.406,40.867406,20
78,flux-ping-broker-size-200-rank-18,kary-1,kary-1-30,0,30,18,broker,209715200,200,44969.577,44.969577,21
79,flux-ping-kvs-size-200-rank-18,kary-1,kary-1-30,0,30,18,kvs,209715200,200,44957.408,44.957408,22
80,flux-ping-broker-size-200-rank-20,kary-1,kary-1-30,0,30,20,broker,209715200,200,49052.446,49.052446,23
81,flux-ping-kvs-size-200-rank-20,kary-1,kary-1-30,0,30,20,kvs,209715200,200,49121.99,49.12199,24
82,flux-ping-broker-size-200-rank-22,kary-1,kary-1-30,0,30,22,broker,209715200,200,53002.508,53.002508,25
83,flux-ping-kvs-size-200-rank-22,kary-1,kary-1-30,0,30,22,kvs,209715200,200,53025.123,53.025123,26
84,flux-ping-broker-size-200-rank-24,kary-1,kary-1-30,0,30,24,broker,209715200,200,57014.014,57.014014,27
85,flux-ping-kvs-size-200-rank-24,kary-1,kary-1-30,0,30,24,kvs,209715200,200,57168.431,57.168431,28
86,flux-ping-broker-size-200-rank-26,kary-1,kary-1-30,0,30,26,broker,209715200,200,60983.044,60.983044,29
87,flux-ping-kvs-size-200-rank-26,kary-1,kary-1-30,0,30,26,kvs,209715200,200,60933.613,60.933612999999994,30
88,flux-ping-broker-size-200-rank-28,kary-1,kary-1-30,0,30,28,broker,209715200,200,65007.519,65.007519,31
89,flux-ping-kvs-size-200-rank-28,kary-1,kary-1-30,0,30,28,kvs,209715200,200,64955.434,64.955434,32
90,flux-ping-broker-size-200-rank-0,kary-5,kary-5-30,0,30,0,broker,209715200,200,8690.868,8.690868,3
91,flux-ping-kvs-size-200-rank-0,kary-5,kary-5-30,0,30,0,kvs,209715200,200,8643.76,8.64376,4
92,flux-ping-broker-size-200-rank-2,kary-5,kary-5-30,0,30,2,broker,209715200,200,10868.936,10.868936,4
93,flux-ping-kvs-size-200-rank-2,kary-5,kary-5-30,0,30,2,kvs,209715200,200,10882.402,10.882402,5
94,flux-ping-broker-size-200-rank-4,kary-5,kary-5-30,0,30,4,broker,209715200,200,10681.481,10.681481,4
95,flux-ping-kvs-size-200-rank-4,kary-5,kary-5-30,0,30,4,kvs,209715200,200,10648.674,10.648674000000002,5
96,flux-ping-broker-size-200-rank-6,kary-5,kary-5-30,0,30,6,broker,209715200,200,12676.347,12.676347,5
97,flux-ping-kvs-size-200-rank-6,kary-5,kary-5-30,0,30,6,kvs,209715200,200,12638.326,12.638326,6
98,flux-ping-broker-size-200-rank-8,kary-5,kary-5-30,0,30,8,broker,209715200,200,12746.989,12.746989,5
99,flux-ping-kvs-size-200-rank-8,kary-5,kary-5-30,0,30,8,kvs,209715200,200,12727.819,12.727819,6
100,flux-ping-broker-size-200-rank-10,kary-5,kary-5-30,0,30,10,broker,209715200,200,12680.748,12.680748,5
101,flux-ping-kvs-size-200-rank-10,kary-5,kary-5-30,0,30,10,kvs,209715200,200,12662.504,12.662504,6
102,flux-ping-broker-size-200-rank-12,kary-5,kary-5-30,0,30,12,broker,209715200,200,12731.374,12.731374,5
103,flux-ping-kvs-size-200-rank-12,kary-5,kary-5-30,0,30,12,kvs,209715200,200,12719.738,12.719738,6
104,flux-ping-broker-size-200-rank-14,kary-5,kary-5-30,0,30,14,broker,209715200,200,12723.898,12.723897999999998,5
105,flux-ping-kvs-size-200-rank-14,kary-5,kary-5-30,0,30,14,kvs,209715200,200,12715.858,12.715858,6
106,flux-ping-broker-size-200-rank-16,kary-5,kary-5-30,0,30,16,broker,209715200,200,12705.61,12.70561,5
107,flux-ping-kvs-size-200-rank-16,kary-5,kary-5-30,0,30,16,kvs,209715200,200,12938.403,12.938403000000001,6
108,flux-ping-broker-size-200-rank-18,kary-5,kary-5-30,0,30,18,broker,209715200,200,12661.254,12.661254000000001,5
109,flux-ping-kvs-size-200-rank-18,kary-5,kary-5-30,0,30,18,kvs,209715200,200,12670.611,12.670611000000001,6
110,flux-ping-broker-size-200-rank-20,kary-5,kary-5-30,0,30,20,broker,209715200,200,12680.348,12.680348,5
111,flux-ping-kvs-size-200-rank-20,kary-5,kary-5-30,0,30,20,kvs,209715200,200,12675.218,12.675218000000001,6
112,flux-ping-broker-size-200-rank-22,kary-5,kary-5-30,0,30,22,broker,209715200,200,12666.436,12.666436,5
113,flux-ping-kvs-size-200-rank-22,kary-5,kary-5-30,0,30,22,kvs,209715200,200,12670.41,12.67041,6
114,flux-ping-broker-size-200-rank-24,kary-5,kary-5-30,0,30,24,broker,209715200,200,12799.877,12.799877,5
115,flux-ping-kvs-size-200-rank-24,kary-5,kary-5-30,0,30,24,kvs,209715200,200,12762.431,12.762431000000001,6
116,flux-ping-broker-size-200-rank-26,kary-5,kary-5-30,0,30,26,broker,209715200,200,12699.011,12.699011,5
117,flux-ping-kvs-size-200-rank-26,kary-5,kary-5-30,0,30,26,kvs,209715200,200,12710.639,12.710638999999999,6
118,flux-ping-broker-size-200-rank-28,kary-5,kary-5-30,0,30,28,broker,209715200,200,12698.51,12.69851,5
119,flux-ping-kvs-size-200-rank-28,kary-5,kary-5-30,0,30,28,kvs,209715200,200,12783.549,12.783549,6
120,flux-ping-broker-size-200-rank-0,binomial,binomial-30,0,30,0,broker,209715200,200,8762.185,8.762184999999999,3
121,flux-ping-kvs-size-200-rank-0,binomial,binomial-30,0,30,0,kvs,209715200,200,8739.927,8.739927,4
122,flux-ping-broker-size-200-rank-2,binomial,binomial-30,0,30,2,broker,209715200,200,10623.724,10.623724,4
123,flux-ping-kvs-size-200-rank-2,binomial,binomial-30,0,30,2,kvs,209715200,200,10656.563,10.656563,5
124,flux-ping-broker-size-200-rank-4,binomial,binomial-30,0,30,4,broker,209715200,200,10635.619,10.635619,4
125,flux-ping-kvs-size-200-rank-4,binomial,binomial-30,0,30,4,kvs,209715200,200,10654.502,10.654502,5
126,flux-ping-broker-size-200-rank-6,binomial,binomial-30,0,30,6,broker,209715200,200,12790.758,12.790758,5
127,flux-ping-kvs-size-200-rank-6,binomial,binomial-30,0,30,6,kvs,209715200,200,12754.774,12.754774,6
128,flux-ping-broker-size-200-rank-8,binomial,binomial-30,0,30,8,broker,209715200,200,10717.231,10.717231,4
129,flux-ping-kvs-size-200-rank-8,binomial,binomial-30,0,30,8,kvs,209715200,200,10751.552,10.751552,5
130,flux-ping-broker-size-200-rank-10,binomial,binomial-30,0,30,10,broker,209715200,200,12839.002,12.839002,5
131,flux-ping-kvs-size-200-rank-10,binomial,binomial-30,0,30,10,kvs,209715200,200,12675.878,12.675878,6
132,flux-ping-broker-size-200-rank-12,binomial,binomial-30,0,30,12,broker,209715200,200,12714.589,12.714589,5
133,flux-ping-kvs-size-200-rank-12,binomial,binomial-30,0,30,12,kvs,209715200,200,12640.865,12.640865,6
134,flux-ping-broker-size-200-rank-14,binomial,binomial-30,0,30,14,broker,209715200,200,14747.089,14.747089,6
135,flux-ping-kvs-size-200-rank-14,binomial,binomial-30,0,30,14,kvs,209715200,200,15021.972,15.021972,7
136,flux-ping-broker-size-200-rank-16,binomial,binomial-30,0,30,16,broker,209715200,200,10651.531,10.651531,4
137,flux-ping-kvs-size-200-rank-16,binomial,binomial-30,0,30,16,kvs,209715200,200,10642.702,10.642702,5
138,flux-ping-broker-size-200-rank-18,binomial,binomial-30,0,30,18,broker,209715200,200,12682.652,12.682652000000001,5
139,flux-ping-kvs-size-200-rank-18,binomial,binomial-30,0,30,18,kvs,209715200,200,12655.867,12.655867,6
140,flux-ping-broker-size-200-rank-20,binomial,binomial-30,0,30,20,broker,209715200,200,12661.716,12.661716,5
141,flux-ping-kvs-size-200-rank-20,binomial,binomial-30,0,30,20,kvs,209715200,200,12635.691,12.635691000000001,6
142,flux-ping-broker-size-200-rank-22,binomial,binomial-30,0,30,22,broker,209715200,200,14684.18,14.68418,6
143,flux-ping-kvs-size-200-rank-22,binomial,binomial-30,0,30,22,kvs,209715200,200,14647.174,14.647174000000001,7
144,flux-ping-broker-size-200-rank-24,binomial,binomial-30,0,30,24,broker,209715200,200,12689.925,12.689924999999999,5
145,flux-ping-kvs-size-200-rank-24,binomial,binomial-30,0,30,24,kvs,209715200,200,12753.235,12.753235,6
146,flux-ping-broker-size-200-rank-26,binomial,binomial-30,0,30,26,broker,209715200,200,14694.302,14.694302,6
147,flux-ping-kvs-size-200-rank-26,binomial,binomial-30,0,30,26,kvs,209715200,200,14688.728,14.688728,7
148,flux-ping-broker-size-200-rank-28,binomial,binomial-30,0,30,28,broker,209715200,200,14667.799,14.667799,6
149,flux-ping-kvs-size-200-rank-28,binomial,binomial-30,0,30,28,kvs,209715200,200,14639.207,14.639207,7
150,flux-ping-broker-size-200-rank-0,kary-4,kary-4-30,0,30,0,broker,209715200,200,8668.19,8.668190000000001,3
151,flux-ping-kvs-size-200-rank-0,kary-4,kary-4-30,0,30,0,kvs,209715200,200,8708.483,8.708483,4
