,uid,topology,iteration,nodes,event,size_gb,time_seconds
28,kary-1-6,kary-1,0,6,clean-all-nodes,1,0.235
29,kary-1-6,kary-1,0,6,delete-archive-all-nodes,1,0.025
30,kary-1-6,kary-1,0,6,create-leaf-nodes,1,3.003
31,kary-1-6,kary-1,0,6,distribute-leaf-nodes,1,1.533
32,kary-1-6,kary-1,0,6,clean-leaf-nodes,1,0.194
33,kary-1-6,kary-1,0,6,delete-archive-leaf-nodes,1,0.025
34,kary-1-6,kary-1,0,6,create-middle-nodes,1,2.965
35,kary-1-6,kary-1,0,6,distribute-middle-nodes-0,1,1.472
36,kary-1-6,kary-1,0,6,distribute-middle-nodes-1,1,1.485
37,kary-1-6,kary-1,0,6,clean-middle-nodes,1,0.195
38,kary-1-6,kary-1,0,6,delete-archive-middle-nodes,1,0.026
39,kary-1-6,kary-1,0,6,create-archive,2,5.988
40,kary-1-6,kary-1,0,6,distribute-all-nodes,2,5.938
41,kary-1-6,kary-1,0,6,clean-all-nodes,2,0.392
42,kary-1-6,kary-1,0,6,delete-archive-all-nodes,2,0.027
43,kary-1-6,kary-1,0,6,create-leaf-nodes,2,6.064
44,kary-1-6,kary-1,0,6,distribute-leaf-nodes,2,3.073
45,kary-1-6,kary-1,0,6,clean-leaf-nodes,2,0.415
46,kary-1-6,kary-1,0,6,delete-archive-leaf-nodes,2,0.025
47,kary-1-6,kary-1,0,6,create-middle-nodes,2,6.047
48,kary-1-6,kary-1,0,6,distribute-middle-nodes-0,2,3.03
49,kary-1-6,kary-1,0,6,distribute-middle-nodes-1,2,3.008
50,kary-1-6,kary-1,0,6,clean-middle-nodes,2,0.43
51,kary-1-6,kary-1,0,6,delete-archive-middle-nodes,2,0.026
52,kary-1-6,kary-1,1,6,create-archive,1,3.131
53,kary-1-6,kary-1,1,6,distribute-all-nodes,1,3.069
54,kary-1-6,kary-1,1,6,clean-all-nodes,1,0.226
55,kary-1-6,kary-1,1,6,delete-archive-all-nodes,1,0.025
56,kary-1-6,kary-1,1,6,create-leaf-nodes,1,2.978
57,kary-1-6,kary-1,1,6,distribute-leaf-nodes,1,1.553
58,kary-1-6,kary-1,1,6,clean-leaf-nodes,1,0.224
59,kary-1-6,kary-1,1,6,delete-archive-leaf-nodes,1,0.025
60,kary-1-6,kary-1,1,6,create-middle-nodes,1,3.148
61,kary-1-6,kary-1,1,6,distribute-middle-nodes-0,1,1.58
62,kary-1-6,kary-1,1,6,distribute-middle-nodes-1,1,1.542
63,kary-1-6,kary-1,1,6,clean-middle-nodes,1,0.218
64,kary-1-6,kary-1,1,6,delete-archive-middle-nodes,1,0.025
65,kary-1-6,kary-1,1,6,create-archive,2,6.23
66,kary-1-6,kary-1,1,6,distribute-all-nodes,2,6.169
67,kary-1-6,kary-1,1,6,clean-all-nodes,2,0.42
68,kary-1-6,kary-1,1,6,delete-archive-all-nodes,2,0.025
69,kary-1-6,kary-1,1,6,create-leaf-nodes,2,6.088
70,kary-1-6,kary-1,1,6,distribute-leaf-nodes,2,2.936
71,kary-1-6,kary-1,1,6,clean-leaf-nodes,2,0.386
72,kary-1-6,kary-1,1,6,delete-archive-leaf-nodes,2,0.026
73,kary-1-6,kary-1,1,6,create-middle-nodes,2,6.015
74,kary-1-6,kary-1,1,6,distribute-middle-nodes-0,2,2.892
75,kary-1-6,kary-1,1,6,distribute-middle-nodes-1,2,2.859
76,kary-1-6,kary-1,1,6,clean-middle-nodes,2,0.395
77,kary-1-6,kary-1,1,6,delete-archive-middle-nodes,2,0.025
78,kary-1-6,kary-1,2,6,create-archive,1,2.981
79,kary-1-6,kary-1,2,6,distribute-all-nodes,1,3.323
80,kary-1-6,kary-1,2,6,clean-all-nodes,1,0.282
81,kary-1-6,kary-1,2,6,delete-archive-all-nodes,1,0.027
82,kary-1-6,kary-1,2,6,create-leaf-nodes,1,2.979
83,kary-1-6,kary-1,2,6,distribute-leaf-nodes,1,1.6
84,kary-1-6,kary-1,2,6,clean-leaf-nodes,1,0.227
85,kary-1-6,kary-1,2,6,delete-archive-leaf-nodes,1,0.024
86,kary-1-6,kary-1,2,6,create-middle-nodes,1,2.998
87,kary-1-6,kary-1,2,6,distribute-middle-nodes-0,1,1.572
88,kary-1-6,kary-1,2,6,distribute-middle-nodes-1,1,1.615
89,kary-1-6,kary-1,2,6,clean-middle-nodes,1,0.228
90,kary-1-6,kary-1,2,6,delete-archive-middle-nodes,1,0.026
91,kary-1-6,kary-1,2,6,create-archive,2,5.932
92,kary-1-6,kary-1,2,6,distribute-all-nodes,2,6.092
93,kary-1-6,kary-1,2,6,clean-all-nodes,2,0.41
94,kary-1-6,kary-1,2,6,delete-archive-all-nodes,2,0.025
95,kary-1-6,kary-1,2,6,create-leaf-nodes,2,5.873
96,kary-1-6,kary-1,2,6,distribute-leaf-nodes,2,3.215
97,kary-1-6,kary-1,2,6,clean-leaf-nodes,2,0.413
98,kary-1-6,kary-1,2,6,delete-archive-leaf-nodes,2,0.026
99,kary-1-6,kary-1,2,6,create-middle-nodes,2,5.798
100,kary-1-6,kary-1,2,6,distribute-middle-nodes-0,2,3.13
101,kary-1-6,kary-1,2,6,distribute-middle-nodes-1,2,3.023
102,kary-1-6,kary-1,2,6,clean-middle-nodes,2,0.433
103,kary-1-6,kary-1,2,6,delete-archive-middle-nodes,2,0.026
104,kary-1-6,kary-1,4,6,create-archive,1,3.065
105,kary-1-6,kary-1,4,6,distribute-all-nodes,1,3.39
106,kary-1-6,kary-1,4,6,clean-all-nodes,1,0.279
107,kary-1-6,kary-1,4,6,delete-archive-all-nodes,1,0.029
108,kary-1-6,kary-1,4,6,create-leaf-nodes,1,2.98
109,kary-1-6,kary-1,4,6,distribute-leaf-nodes,1,1.488
110,kary-1-6,kary-1,4,6,clean-leaf-nodes,1,0.209
111,kary-1-6,kary-1,4,6,delete-archive-leaf-nodes,1,0.025
112,kary-1-6,kary-1,4,6,create-middle-nodes,1,3.086
113,kary-1-6,kary-1,4,6,distribute-middle-nodes-0,1,1.53
114,kary-1-6,kary-1,4,6,distribute-middle-nodes-1,1,1.455
115,kary-1-6,kary-1,4,6,clean-middle-nodes,1,0.209
116,kary-1-6,kary-1,4,6,delete-archive-middle-nodes,1,0.026
117,kary-1-6,kary-1,4,6,create-archive,2,5.829
118,kary-1-6,kary-1,4,6,distribute-all-nodes,2,6.106
119,kary-1-6,kary-1,4,6,clean-all-nodes,2,0.403
120,kary-1-6,kary-1,4,6,delete-archive-all-nodes,2,0.028
121,kary-1-6,kary-1,4,6,create-leaf-nodes,2,5.928
122,kary-1-6,kary-1,4,6,distribute-leaf-nodes,2,3.135
123,kary-1-6,kary-1,4,6,clean-leaf-nodes,2,0.412
124,kary-1-6,kary-1,4,6,delete-archive-leaf-nodes,2,0.025
125,kary-1-6,kary-1,4,6,create-middle-nodes,2,6.012
126,kary-1-6,kary-1,4,6,distribute-middle-nodes-0,2,3.161
127,kary-1-6,kary-1,4,6,distribute-middle-nodes-1,2,3.032
128,kary-1-6,kary-1,4,6,clean-middle-nodes,2,0.415
129,kary-1-6,kary-1,4,6,delete-archive-middle-nodes,2,0.026
130,binomial-6,binomial,3,6,create-archive,1,2.967
131,binomial-6,binomial,3,6,distribute-all-nodes,1,3.042
132,binomial-6,binomial,3,6,clean-all-nodes,1,0.209
133,binomial-6,binomial,3,6,delete-archive-all-nodes,1,0.019
134,binomial-6,binomial,3,6,create-leaf-nodes,1,3.07
