,uid,topology,iteration,nodes,event,size_gb,time_seconds
0,kary-1-6,kary-1,0,6,create-archive,1,9.255
1,kary-1-6,kary-1,0,6,distribute-all-nodes,1,1.945
2,kary-1-6,kary-1,0,6,delete-archive-all-nodes,1,0.027
3,kary-1-6,kary-1,0,6,clean-all-nodes,1,0.188
4,kary-1-6,kary-1,0,6,create-archive,2,19.226
5,kary-1-6,kary-1,0,6,distribute-all-nodes,2,3.851
6,kary-1-6,kary-1,0,6,delete-archive-all-nodes,2,0.026
7,kary-1-6,kary-1,0,6,clean-all-nodes,2,0.352
8,kary-1-6,kary-1,0,6,create-archive,3,29.341
9,kary-1-6,kary-1,0,6,distribute-all-nodes,3,5.736
10,kary-1-6,kary-1,0,6,delete-archive-all-nodes,3,0.026
11,kary-1-6,kary-1,0,6,clean-all-nodes,3,0.523
12,kary-1-6,kary-1,0,6,create-archive,4,39.296
13,kary-1-6,kary-1,0,6,distribute-all-nodes,4,7.849
14,kary-1-6,kary-1,0,6,delete-archive-all-nodes,4,0.027
15,kary-1-6,kary-1,0,6,clean-all-nodes,4,0.661
16,kary-1-6,kary-1,0,6,create-archive,5,49.734
17,kary-1-6,kary-1,0,6,distribute-all-nodes,5,10.049
18,kary-1-6,kary-1,0,6,delete-archive-all-nodes,5,0.033
19,kary-1-6,kary-1,0,6,clean-all-nodes,5,1.136
20,kary-1-6,kary-1,0,6,create-archive,6,59.881
21,kary-1-6,kary-1,0,6,distribute-all-nodes,6,11.855
22,kary-1-6,kary-1,0,6,delete-archive-all-nodes,6,0.038
23,kary-1-6,kary-1,0,6,clean-all-nodes,6,1.384
24,kary-1-6,kary-1,0,6,create-archive,7,69.595
25,kary-1-6,kary-1,0,6,distribute-all-nodes,7,17.389
26,kary-1-6,kary-1,0,6,delete-archive-all-nodes,7,0.044
27,kary-1-6,kary-1,0,6,clean-all-nodes,7,1.588
28,kary-1-6,kary-1,0,6,create-archive,8,80.196
29,kary-1-6,kary-1,0,6,distribute-all-nodes,8,23.395
30,kary-1-6,kary-1,0,6,delete-archive-all-nodes,8,0.046
31,kary-1-6,kary-1,0,6,clean-all-nodes,8,1.672
32,kary-1-6,kary-1,0,6,create-archive,9,73.978
33,kary-1-6,kary-1,0,6,distribute-all-nodes,9,29.609
34,kary-1-6,kary-1,0,6,delete-archive-all-nodes,9,0.049
35,kary-1-6,kary-1,0,6,clean-all-nodes,9,1.807
36,kary-1-6,kary-1,0,6,create-archive,10,69.021
37,kary-1-6,kary-1,0,6,distribute-all-nodes,10,37.88
38,kary-1-6,kary-1,0,6,delete-archive-all-nodes,10,0.14
39,kary-1-6,kary-1,0,6,clean-all-nodes,10,1.956
40,kary-1-6,kary-1,1,6,create-archive,1,9.13
41,kary-1-6,kary-1,1,6,distribute-all-nodes,1,2.292
42,kary-1-6,kary-1,1,6,delete-archive-all-nodes,1,0.027
43,kary-1-6,kary-1,1,6,clean-all-nodes,1,0.187
44,kary-1-6,kary-1,1,6,create-archive,2,19.476
45,kary-1-6,kary-1,1,6,distribute-all-nodes,2,4.201
46,kary-1-6,kary-1,1,6,delete-archive-all-nodes,2,0.026
47,kary-1-6,kary-1,1,6,clean-all-nodes,2,0.795
48,kary-1-6,kary-1,1,6,create-archive,3,29.321
49,kary-1-6,kary-1,1,6,distribute-all-nodes,3,6.038
50,kary-1-6,kary-1,1,6,delete-archive-all-nodes,3,0.026
51,kary-1-6,kary-1,1,6,clean-all-nodes,3,0.626
52,kary-1-6,kary-1,1,6,create-archive,4,39.249
53,kary-1-6,kary-1,1,6,distribute-all-nodes,4,7.945
54,kary-1-6,kary-1,1,6,delete-archive-all-nodes,4,0.027
55,kary-1-6,kary-1,1,6,clean-all-nodes,4,0.663
56,kary-1-6,kary-1,1,6,create-archive,5,49.485
57,kary-1-6,kary-1,1,6,distribute-all-nodes,5,10.195
58,kary-1-6,kary-1,1,6,delete-archive-all-nodes,5,0.033
59,kary-1-6,kary-1,1,6,clean-all-nodes,5,1.242
60,kary-1-6,kary-1,1,6,create-archive,6,59.375
61,kary-1-6,kary-1,1,6,distribute-all-nodes,6,12.039
62,kary-1-6,kary-1,1,6,delete-archive-all-nodes,6,0.039
63,kary-1-6,kary-1,1,6,clean-all-nodes,6,1.355
64,kary-1-6,kary-1,1,6,create-archive,7,69.792
65,kary-1-6,kary-1,1,6,distribute-all-nodes,7,17.137
66,kary-1-6,kary-1,1,6,delete-archive-all-nodes,7,0.041
67,kary-1-6,kary-1,1,6,clean-all-nodes,7,1.364
68,kary-1-6,kary-1,1,6,create-archive,8,80.143
69,kary-1-6,kary-1,1,6,distribute-all-nodes,8,23.501
70,kary-1-6,kary-1,1,6,delete-archive-all-nodes,8,0.047
71,kary-1-6,kary-1,1,6,clean-all-nodes,8,1.549
72,kary-1-6,kary-1,1,6,create-archive,9,90.257
73,kary-1-6,kary-1,1,6,distribute-all-nodes,9,29.796
74,kary-1-6,kary-1,1,6,delete-archive-all-nodes,9,0.05
75,kary-1-6,kary-1,1,6,clean-all-nodes,9,1.706
