,uid,topology,iteration,nodes,event,size_gb,time_seconds
0,kary-15-30,kary-15,0,30,create-archive,1,9.079
1,kary-15-30,kary-15,0,30,distribute-all-nodes,1,2.269
2,kary-15-30,kary-15,0,30,delete-archive-all-nodes,1,0.022
3,kary-15-30,kary-15,0,30,clean-all-nodes,1,0.183
4,kary-15-30,kary-15,0,30,create-archive,2,19.389
5,kary-15-30,kary-15,0,30,distribute-all-nodes,2,3.894
6,kary-15-30,kary-15,0,30,delete-archive-all-nodes,2,0.022
7,kary-15-30,kary-15,0,30,clean-all-nodes,2,0.347
8,kary-15-30,kary-15,0,30,create-archive,3,29.21
9,kary-15-30,kary-15,0,30,distribute-all-nodes,3,5.861
10,kary-15-30,kary-15,0,30,delete-archive-all-nodes,3,0.028
11,kary-15-30,kary-15,0,30,clean-all-nodes,3,1.007
12,kary-15-30,kary-15,0,30,create-archive,4,39.695
13,kary-15-30,kary-15,0,30,distribute-all-nodes,4,7.726
14,kary-15-30,kary-15,0,30,delete-archive-all-nodes,4,0.03
15,kary-15-30,kary-15,0,30,clean-all-nodes,4,0.662
16,kary-15-30,kary-15,0,30,create-archive,5,49.984
17,kary-15-30,kary-15,0,30,distribute-all-nodes,5,9.746
18,kary-15-30,kary-15,0,30,delete-archive-all-nodes,5,0.033
19,kary-15-30,kary-15,0,30,clean-all-nodes,5,1.055
20,kary-15-30,kary-15,0,30,create-archive,6,59.984
21,kary-15-30,kary-15,0,30,distribute-all-nodes,6,12.1
22,kary-15-30,kary-15,0,30,delete-archive-all-nodes,6,0.036
23,kary-15-30,kary-15,0,30,clean-all-nodes,6,1.439
24,kary-15-30,kary-15,0,30,create-archive,7,69.578
25,kary-15-30,kary-15,0,30,distribute-all-nodes,7,17.579
26,kary-15-30,kary-15,0,30,delete-archive-all-nodes,7,0.037
27,kary-15-30,kary-15,0,30,clean-all-nodes,7,1.573
28,kary-15-30,kary-15,0,30,create-archive,8,79.496
29,kary-15-30,kary-15,0,30,distribute-all-nodes,8,23.57
30,kary-15-30,kary-15,0,30,delete-archive-all-nodes,8,0.04
31,kary-15-30,kary-15,0,30,clean-all-nodes,8,1.656
32,kary-15-30,kary-15,0,30,create-archive,9,70.506
33,kary-15-30,kary-15,0,30,distribute-all-nodes,9,30.151
34,kary-15-30,kary-15,0,30,delete-archive-all-nodes,9,0.041
35,kary-15-30,kary-15,0,30,clean-all-nodes,9,1.905
36,kary-15-30,kary-15,0,30,create-archive,10,100.03399999999999
37,kary-15-30,kary-15,0,30,distribute-all-nodes,10,37.375
38,kary-15-30,kary-15,0,30,delete-archive-all-nodes,10,0.073
39,kary-15-30,kary-15,0,30,clean-all-nodes,10,1.842
40,kary-12-30,kary-12,0,30,create-archive,1,9.131
41,kary-12-30,kary-12,0,30,distribute-all-nodes,1,3.535
42,kary-12-30,kary-12,0,30,delete-archive-all-nodes,1,0.02
43,kary-12-30,kary-12,0,30,clean-all-nodes,1,0.182
44,kary-12-30,kary-12,0,30,create-archive,2,19.333
45,kary-12-30,kary-12,0,30,distribute-all-nodes,2,3.941
46,kary-12-30,kary-12,0,30,delete-archive-all-nodes,2,0.023
47,kary-12-30,kary-12,0,30,clean-all-nodes,2,0.831
48,kary-12-30,kary-12,0,30,create-archive,3,29.494
49,kary-12-30,kary-12,0,30,distribute-all-nodes,3,5.778
50,kary-12-30,kary-12,0,30,delete-archive-all-nodes,3,0.028
51,kary-12-30,kary-12,0,30,clean-all-nodes,3,0.999
52,kary-12-30,kary-12,0,30,create-archive,4,39.305
53,kary-12-30,kary-12,0,30,distribute-all-nodes,4,7.922
54,kary-12-30,kary-12,0,30,delete-archive-all-nodes,4,0.03
55,kary-12-30,kary-12,0,30,clean-all-nodes,4,0.775
56,kary-12-30,kary-12,0,30,create-archive,5,49.622
57,kary-12-30,kary-12,0,30,distribute-all-nodes,5,9.532
58,kary-12-30,kary-12,0,30,delete-archive-all-nodes,5,0.033
59,kary-12-30,kary-12,0,30,clean-all-nodes,5,1.321
60,kary-12-30,kary-12,0,30,create-archive,6,60.192
61,kary-12-30,kary-12,0,30,distribute-all-nodes,6,11.97
62,kary-12-30,kary-12,0,30,delete-archive-all-nodes,6,0.035
63,kary-12-30,kary-12,0,30,clean-all-nodes,6,1.467
64,kary-12-30,kary-12,0,30,create-archive,7,69.709
65,kary-12-30,kary-12,0,30,distribute-all-nodes,7,17.35
66,kary-12-30,kary-12,0,30,delete-archive-all-nodes,7,0.037
67,kary-12-30,kary-12,0,30,clean-all-nodes,7,1.575
68,kary-12-30,kary-12,0,30,create-archive,8,80.28
69,kary-12-30,kary-12,0,30,distribute-all-nodes,8,23.64
70,kary-12-30,kary-12,0,30,delete-archive-all-nodes,8,0.039
71,kary-12-30,kary-12,0,30,clean-all-nodes,8,1.677
72,kary-12-30,kary-12,0,30,create-archive,9,90.174
73,kary-12-30,kary-12,0,30,distribute-all-nodes,9,29.944
74,kary-12-30,kary-12,0,30,delete-archive-all-nodes,9,0.041
75,kary-12-30,kary-12,0,30,clean-all-nodes,9,1.71
76,kary-12-30,kary-12,0,30,create-archive,10,63.242
77,kary-12-30,kary-12,0,30,distribute-all-nodes,10,37.502
78,kary-12-30,kary-12,0,30,delete-archive-all-nodes,10,0.046
79,kary-12-30,kary-12,0,30,clean-all-nodes,10,1.793
80,kary-1-30,kary-1,0,30,create-archive,1,9.142
81,kary-1-30,kary-1,0,30,distribute-all-nodes,1,2.113
82,kary-1-30,kary-1,0,30,delete-archive-all-nodes,1,0.093
83,kary-1-30,kary-1,0,30,clean-all-nodes,1,0.254
84,kary-1-30,kary-1,0,30,create-archive,2,19.218
85,kary-1-30,kary-1,0,30,distribute-all-nodes,2,3.981
86,kary-1-30,kary-1,0,30,delete-archive-all-nodes,2,0.094
87,kary-1-30,kary-1,0,30,clean-all-nodes,2,0.873
88,kary-1-30,kary-1,0,30,create-archive,3,29.147
89,kary-1-30,kary-1,0,30,distribute-all-nodes,3,5.895
90,kary-1-30,kary-1,0,30,delete-archive-all-nodes,3,0.094
91,kary-1-30,kary-1,0,30,clean-all-nodes,3,1.0
92,kary-1-30,kary-1,0,30,create-archive,4,39.613
93,kary-1-30,kary-1,0,30,distribute-all-nodes,4,7.75
94,kary-1-30,kary-1,0,30,delete-archive-all-nodes,4,0.098
95,kary-1-30,kary-1,0,30,clean-all-nodes,4,1.126
96,kary-1-30,kary-1,0,30,create-archive,5,49.436
97,kary-1-30,kary-1,0,30,distribute-all-nodes,5,9.805
98,kary-1-30,kary-1,0,30,delete-archive-all-nodes,5,0.099
99,kary-1-30,kary-1,0,30,clean-all-nodes,5,1.351
100,kary-1-30,kary-1,0,30,create-archive,6,59.375
101,kary-1-30,kary-1,0,30,distribute-all-nodes,6,12.704
102,kary-1-30,kary-1,0,30,delete-archive-all-nodes,6,0.101
103,kary-1-30,kary-1,0,30,clean-all-nodes,6,1.306
104,kary-1-30,kary-1,0,30,create-archive,7,70.243
105,kary-1-30,kary-1,0,30,distribute-all-nodes,7,18.053
106,kary-1-30,kary-1,0,30,delete-archive-all-nodes,7,0.105
107,kary-1-30,kary-1,0,30,clean-all-nodes,7,1.63
108,kary-1-30,kary-1,0,30,create-archive,8,79.904
109,kary-1-30,kary-1,0,30,distribute-all-nodes,8,23.585
110,kary-1-30,kary-1,0,30,delete-archive-all-nodes,8,0.107
111,kary-1-30,kary-1,0,30,clean-all-nodes,8,1.83
112,kary-1-30,kary-1,0,30,create-archive,9,90.21600000000001
113,kary-1-30,kary-1,0,30,distribute-all-nodes,9,30.29
114,kary-1-30,kary-1,0,30,delete-archive-all-nodes,9,0.106
115,kary-1-30,kary-1,0,30,clean-all-nodes,9,1.786
116,kary-1-30,kary-1,0,30,create-archive,10,62.969
117,kary-1-30,kary-1,0,30,distribute-all-nodes,10,37.669
118,kary-1-30,kary-1,0,30,delete-archive-all-nodes,10,0.658
119,kary-1-30,kary-1,0,30,clean-all-nodes,10,1.962
120,kary-10-30,kary-10,0,30,create-archive,1,9.067
121,kary-10-30,kary-10,0,30,distribute-all-nodes,1,2.004
122,kary-10-30,kary-10,0,30,delete-archive-all-nodes,1,0.02
123,kary-10-30,kary-10,0,30,clean-all-nodes,1,0.183
124,kary-10-30,kary-10,0,30,create-archive,2,19.233
125,kary-10-30,kary-10,0,30,distribute-all-nodes,2,3.993
126,kary-10-30,kary-10,0,30,delete-archive-all-nodes,2,0.022
127,kary-10-30,kary-10,0,30,clean-all-nodes,2,0.482
128,kary-10-30,kary-10,0,30,create-archive,3,29.401
129,kary-10-30,kary-10,0,30,distribute-all-nodes,3,5.829
130,kary-10-30,kary-10,0,30,delete-archive-all-nodes,3,0.028
131,kary-10-30,kary-10,0,30,clean-all-nodes,3,0.937
132,kary-10-30,kary-10,0,30,create-archive,4,39.474
133,kary-10-30,kary-10,0,30,distribute-all-nodes,4,7.709
134,kary-10-30,kary-10,0,30,delete-archive-all-nodes,4,0.03
135,kary-10-30,kary-10,0,30,clean-all-nodes,4,0.719
136,kary-10-30,kary-10,0,30,create-archive,5,49.515
137,kary-10-30,kary-10,0,30,distribute-all-nodes,5,9.591
