,uid,topology,topology-uid,iteration,nodes,rank,service,message_size_bytes,message_size_mb,time_ms,time_seconds,hops
0,flux-ping-broker-size-0-rank-0,kary-1,kary-1-6,0,6,0,broker,0,0,0.133,0.000133,3
1,flux-ping-kvs-size-0-rank-0,kary-1,kary-1-6,0,6,0,kvs,0,0,0.214,0.000214,4
2,flux-ping-broker-size-0-rank-1,kary-1,kary-1-6,0,6,1,broker,0,0,0.489,0.000489,4
3,flux-ping-kvs-size-0-rank-1,kary-1,kary-1-6,0,6,1,kvs,0,0,0.478,0.00047799999999999996,5
4,flux-ping-broker-size-0-rank-2,kary-1,kary-1-6,0,6,2,broker,0,0,0.811,0.0008110000000000001,5
5,flux-ping-kvs-size-0-rank-2,kary-1,kary-1-6,0,6,2,kvs,0,0,0.785,0.000785,6
6,flux-ping-broker-size-0-rank-3,kary-1,kary-1-6,0,6,3,broker,0,0,0.98,0.00098,6
7,flux-ping-kvs-size-0-rank-3,kary-1,kary-1-6,0,6,3,kvs,0,0,1.147,0.001147,7
8,flux-ping-broker-size-0-rank-4,kary-1,kary-1-6,0,6,4,broker,0,0,1.525,0.0015249999999999999,7
9,flux-ping-kvs-size-0-rank-4,kary-1,kary-1-6,0,6,4,kvs,0,0,1.319,0.0013189999999999999,8
10,flux-ping-broker-size-0-rank-5,kary-1,kary-1-6,0,6,5,broker,0,0,1.691,0.001691,8
11,flux-ping-kvs-size-0-rank-5,kary-1,kary-1-6,0,6,5,kvs,0,0,1.607,0.001607,9
12,flux-ping-broker-size-200-rank-0,kary-1,kary-1-6,0,6,0,broker,209715200,200,8921.058,8.921058,3
13,flux-ping-kvs-size-200-rank-0,kary-1,kary-1-6,0,6,0,kvs,209715200,200,8920.027,8.920027,4
14,flux-ping-broker-size-200-rank-1,kary-1,kary-1-6,0,6,1,broker,209715200,200,10845.946,10.845946,4
15,flux-ping-kvs-size-200-rank-1,kary-1,kary-1-6,0,6,1,kvs,209715200,200,10829.928,10.829928,5
16,flux-ping-broker-size-200-rank-2,kary-1,kary-1-6,0,6,2,broker,209715200,200,12934.463,12.934463,5
17,flux-ping-kvs-size-200-rank-2,kary-1,kary-1-6,0,6,2,kvs,209715200,200,12907.135,12.907135,6
18,flux-ping-broker-size-200-rank-3,kary-1,kary-1-6,0,6,3,broker,209715200,200,14882.719,14.882719,6
19,flux-ping-kvs-size-200-rank-3,kary-1,kary-1-6,0,6,3,kvs,209715200,200,14858.128,14.858128,7
20,flux-ping-broker-size-200-rank-4,kary-1,kary-1-6,0,6,4,broker,209715200,200,16918.435,16.918435000000002,7
21,flux-ping-kvs-size-200-rank-4,kary-1,kary-1-6,0,6,4,kvs,209715200,200,16845.251,16.845251,8
22,flux-ping-broker-size-200-rank-5,kary-1,kary-1-6,0,6,5,broker,209715200,200,18843.085,18.843085,8
23,flux-ping-kvs-size-200-rank-5,kary-1,kary-1-6,0,6,5,kvs,209715200,200,18905.227,18.905227,9
24,flux-ping-broker-size-400-rank-0,kary-1,kary-1-6,0,6,0,broker,419430400,400,18086.703,18.086703,3
25,flux-ping-kvs-size-400-rank-0,kary-1,kary-1-6,0,6,0,kvs,419430400,400,17970.919,17.970919000000002,4
26,flux-ping-broker-size-400-rank-1,kary-1,kary-1-6,0,6,1,broker,419430400,400,21749.314,21.749314,4
27,flux-ping-kvs-size-400-rank-1,kary-1,kary-1-6,0,6,1,kvs,419430400,400,21708.295,21.708295,5
28,flux-ping-broker-size-400-rank-2,kary-1,kary-1-6,0,6,2,broker,419430400,400,25828.813,25.828812999999997,5
29,flux-ping-kvs-size-400-rank-2,kary-1,kary-1-6,0,6,2,kvs,419430400,400,25840.336,25.840336,6
30,flux-ping-broker-size-400-rank-3,kary-1,kary-1-6,0,6,3,broker,419430400,400,29797.121,29.797121,6
31,flux-ping-kvs-size-400-rank-3,kary-1,kary-1-6,0,6,3,kvs,419430400,400,29783.009,29.783009,7
32,flux-ping-broker-size-400-rank-4,kary-1,kary-1-6,0,6,4,broker,419430400,400,33782.374,33.782374000000004,7
33,flux-ping-kvs-size-400-rank-4,kary-1,kary-1-6,0,6,4,kvs,419430400,400,33710.743,33.710743,8
34,flux-ping-broker-size-400-rank-5,kary-1,kary-1-6,0,6,5,broker,419430400,400,37909.13,37.90913,8
