,uid,topology,iteration,nodes,event,size_gb,time_seconds
0,kary-1-6,kary-1,3,6,create-archive,1,4.042
1,kary-1-6,kary-1,3,6,distribute-all-nodes,1,3.44
2,kary-1-6,kary-1,3,6,clean-all-nodes,1,0.316
3,kary-1-6,kary-1,3,6,delete-archive-all-nodes,1,0.031
4,kary-1-6,kary-1,3,6,create-leaf-nodes,1,3.948
5,kary-1-6,kary-1,3,6,distribute-leaf-nodes,1,2.682
6,kary-1-6,kary-1,3,6,clean-leaf-nodes,1,0.318
7,kary-1-6,kary-1,3,6,delete-archive-leaf-nodes,1,0.031
8,kary-1-6,kary-1,3,6,create-middle-nodes,1,3.984
9,kary-1-6,kary-1,3,6,distribute-middle-nodes-0,1,2.635
10,kary-1-6,kary-1,3,6,distribute-middle-nodes-1,1,2.649
11,kary-1-6,kary-1,3,6,clean-middle-nodes,1,0.319
12,kary-1-6,kary-1,3,6,delete-archive-middle-nodes,1,0.03
13,kary-1-6,kary-1,3,6,create-archive,2,7.93
14,kary-1-6,kary-1,3,6,distribute-all-nodes,2,5.348
15,kary-1-6,kary-1,3,6,clean-all-nodes,2,0.606
16,kary-1-6,kary-1,3,6,delete-archive-all-nodes,2,0.031
17,kary-1-6,kary-1,3,6,create-leaf-nodes,2,7.679
18,kary-1-6,kary-1,3,6,distribute-leaf-nodes,2,5.225
19,kary-1-6,kary-1,3,6,clean-leaf-nodes,2,0.599
20,kary-1-6,kary-1,3,6,delete-archive-leaf-nodes,2,0.031
21,kary-1-6,kary-1,3,6,create-middle-nodes,2,7.885
22,kary-1-6,kary-1,3,6,distribute-middle-nodes-0,2,5.256
23,kary-1-6,kary-1,3,6,distribute-middle-nodes-1,2,5.083
24,kary-1-6,kary-1,3,6,clean-middle-nodes,2,0.894
25,kary-1-6,kary-1,3,6,delete-archive-middle-nodes,2,0.03
26,kary-1-6,kary-1,0,6,create-archive,1,4.033
27,kary-1-6,kary-1,0,6,distribute-all-nodes,1,3.277
28,kary-1-6,kary-1,0,6,clean-all-nodes,1,0.317
29,kary-1-6,kary-1,0,6,delete-archive-all-nodes,1,0.031
30,kary-1-6,kary-1,0,6,create-leaf-nodes,1,4.014
31,kary-1-6,kary-1,0,6,distribute-leaf-nodes,1,2.611
32,kary-1-6,kary-1,0,6,clean-leaf-nodes,1,0.311
33,kary-1-6,kary-1,0,6,delete-archive-leaf-nodes,1,0.03
34,kary-1-6,kary-1,0,6,create-middle-nodes,1,4.008
35,kary-1-6,kary-1,0,6,distribute-middle-nodes-0,1,2.552
36,kary-1-6,kary-1,0,6,distribute-middle-nodes-1,1,2.649
37,kary-1-6,kary-1,0,6,clean-middle-nodes,1,0.316
38,kary-1-6,kary-1,0,6,delete-archive-middle-nodes,1,0.03
39,kary-1-6,kary-1,0,6,create-archive,2,7.832
40,kary-1-6,kary-1,0,6,distribute-all-nodes,2,5.361
41,kary-1-6,kary-1,0,6,clean-all-nodes,2,0.605
42,kary-1-6,kary-1,0,6,delete-archive-all-nodes,2,0.032
43,kary-1-6,kary-1,0,6,create-leaf-nodes,2,7.792
44,kary-1-6,kary-1,0,6,distribute-leaf-nodes,2,5.206
45,kary-1-6,kary-1,0,6,clean-leaf-nodes,2,0.604
46,kary-1-6,kary-1,0,6,delete-archive-leaf-nodes,2,0.031
47,kary-1-6,kary-1,0,6,create-middle-nodes,2,8.01
48,kary-1-6,kary-1,0,6,distribute-middle-nodes-0,2,5.313
